# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
 256000      4.96e-01    4.35e-01      5.24e-03    4.92e-04      5.76e-02    5.05e-02    7.3e-05
 257000      6.40e-01    5.81e-01      7.91e-02    5.90e-03      5.90e-02    6.74e-02    7.3e-05
 258000      6.03e-01    5.66e-01      8.33e-04    1.64e-02      7.01e-02    6.48e-02    7.3e-05
 259000      6.45e-01    4.61e-01      1.89e-02    2.35e-02      7.41e-02    5.18e-02    7.3e-05
 260000      5.15e-01    5.14e-01      4.20e-03    1.72e-03      5.98e-02    5.97e-02    7.3e-05
 261000      5.08e-01    5.34e-01      3.45e-04    9.59e-03      6.05e-02    6.34e-02    6.9e-05
 262000      6.57e-01    3.27e-01      2.61e-02    1.29e-02      7.68e-02    3.80e-02    6.9e-05
 263000      6.32e-01    4.82e-01      1.23e-02    6.10e-03      7.49e-02    5.74e-02    6.9e-05
 264000      6.34e-01    4.01e-01      2.62e-02    1.10e-02      7.40e-02    4.73e-02    6.9e-05
 265000      5.26e-01    3.45e-01      9.75e-03    1.56e-03      6.24e-02    4.11e-02    6.9e-05
 266000      5.76e-01    4.65e-01      1.90e-02    1.09e-02      6.94e-02    5.63e-02    6.6e-05
 267000      6.26e-01    4.50e-01      5.84e-03    4.49e-03      7.64e-02    5.50e-02    6.6e-05
 268000      4.69e-01    5.15e-01      1.40e-03    3.91e-03      5.73e-02    6.30e-02    6.6e-05
 269000      6.17e-01    4.51e-01      1.16e-02    6.82e-03      7.50e-02    5.50e-02    6.6e-05
 270000      4.94e-01    3.68e-01      3.46e-02    1.64e-02      5.76e-02    4.40e-02    6.6e-05
 271000      5.33e-01    4.03e-01      1.15e-02    3.43e-03      6.63e-02    5.04e-02    6.3e-05
 272000      3.74e-01    4.58e-01      8.19e-03    3.90e-03      4.66e-02    5.74e-02    6.3e-05
 273000      5.41e-01    4.82e-01      1.40e-02    1.19e-02      6.73e-02    5.99e-02    6.3e-05
 274000      3.47e-01    3.72e-01      9.00e-03    3.26e-03      4.31e-02    4.66e-02    6.3e-05
 275000      5.05e-01    4.29e-01      2.24e-03    8.14e-04      6.33e-02    5.38e-02    6.3e-05
# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
 270000      6.12e-01    4.60e-01      5.00e-03    2.07e-03      7.48e-02    5.62e-02    6.6e-05
 271000      6.86e-01    5.64e-01      4.78e-03    1.06e-03      8.59e-02    7.07e-02    6.3e-05
 272000      4.39e-01    4.20e-01      2.08e-02    9.23e-03      5.37e-02    5.24e-02    6.3e-05
 273000      7.57e-01    4.91e-01      9.62e-03    7.93e-03      9.47e-02    6.13e-02    6.3e-05
 274000      4.51e-01    4.85e-01      3.04e-03    3.32e-02      5.65e-02    5.82e-02    6.3e-05
 275000      5.01e-01    5.26e-01      5.45e-03    7.18e-03      6.27e-02    6.57e-02    6.3e-05
 276000      4.66e-01    4.44e-01      1.19e-02    1.69e-02      5.94e-02    5.62e-02    6.0e-05
 277000      3.45e-01    3.80e-01      1.20e-03    2.68e-03      4.44e-02    4.89e-02    6.0e-05
 278000      5.20e-01    4.92e-01      2.61e-03    2.23e-03      6.68e-02    6.32e-02    6.0e-05
 279000      3.07e-01    5.02e-01      4.57e-03    2.52e-03      3.94e-02    6.45e-02    6.0e-05
 280000      5.22e-01    3.93e-01      8.86e-04    3.30e-03      6.72e-02    5.05e-02    6.0e-05
 281000      3.81e-01    4.21e-01      1.10e-02    7.01e-03      4.96e-02    5.53e-02    5.7e-05
 282000      3.40e-01    5.18e-01      9.56e-03    5.56e-03      4.43e-02    6.82e-02    5.7e-05
 283000      5.37e-01    5.43e-01      4.58e-03    6.33e-02      7.07e-02    5.84e-02    5.7e-05
 284000      4.14e-01    3.70e-01      1.74e-02    9.08e-03      5.36e-02    4.83e-02    5.7e-05
 285000      4.67e-01    4.11e-01      6.87e-04    9.60e-03      6.15e-02    5.37e-02    5.7e-05
 286000      4.22e-01    3.38e-01      4.27e-03    2.69e-03      5.69e-02    4.57e-02    5.4e-05
 287000      4.47e-01    4.13e-01      5.00e-03    9.48e-03      6.03e-02    5.54e-02    5.4e-05
 288000      4.75e-01    3.98e-01      6.38e-03    3.64e-02      6.41e-02    4.96e-02    5.4e-05
 289000      5.85e-01    3.07e-01      3.77e-03    1.10e-02      7.91e-02    4.09e-02    5.4e-05
 290000      3.30e-01    5.88e-01      6.28e-03    6.16e-02      4.44e-02    6.79e-02    5.4e-05
 291000      5.43e-01    3.96e-01      1.94e-02    2.04e-03      7.39e-02    5.49e-02    5.1e-05
 292000      4.06e-01    3.22e-01      8.00e-03    5.40e-03      5.59e-02    4.44e-02    5.1e-05
 293000      5.69e-01    3.38e-01      1.62e-02    2.68e-02      7.81e-02    4.41e-02    5.1e-05
 294000      4.30e-01    3.93e-01      2.61e-03    4.24e-03      5.96e-02    5.44e-02    5.1e-05
 295000      4.51e-01    2.97e-01      1.15e-02    4.34e-03      6.20e-02    4.11e-02    5.1e-05
 296000      4.41e-01    4.52e-01      6.10e-03    1.18e-03      6.25e-02    6.43e-02    4.9e-05
 297000      4.03e-01    4.09e-01      4.96e-03    2.18e-02      5.72e-02    5.55e-02    4.9e-05
 298000      4.11e-01    3.59e-01      1.12e-02    4.41e-03      5.79e-02    5.10e-02    4.9e-05
 299000      4.33e-01    4.31e-01      1.92e-02    1.16e-03      6.01e-02    6.12e-02    4.9e-05
 300000      4.42e-01    4.56e-01      1.22e-02    3.36e-03      6.23e-02    6.49e-02    4.9e-05
 301000      5.19e-01    4.26e-01      7.26e-03    1.79e-03      7.55e-02    6.21e-02    4.6e-05
 302000      5.92e-01    3.18e-01      1.87e-02    7.33e-04      8.52e-02    4.64e-02    4.6e-05
 303000      3.16e-01    2.64e-01      2.63e-03    6.48e-03      4.60e-02    3.83e-02    4.6e-05
 304000      4.79e-01    3.55e-01      4.00e-03    9.66e-03      6.98e-02    5.11e-02    4.6e-05
 305000      4.08e-01    4.02e-01      3.99e-03    1.36e-02      5.94e-02    5.74e-02    4.6e-05
 306000      4.55e-01    4.03e-01      1.40e-02    3.98e-03      6.73e-02    6.02e-02    4.4e-05
 307000      3.43e-01    3.07e-01      1.10e-02    4.18e-03      5.07e-02    4.57e-02    4.4e-05
 308000      3.48e-01    3.01e-01      1.46e-02    1.44e-02      5.07e-02    4.40e-02    4.4e-05
 309000      4.55e-01    4.22e-01      1.57e-03    1.91e-03      6.80e-02    6.31e-02    4.4e-05
 310000      4.59e-01    3.69e-01      4.28e-03    4.66e-03      6.86e-02    5.50e-02    4.4e-05
 311000      4.71e-01    3.51e-01      3.26e-03    1.22e-02      7.22e-02    5.27e-02    4.2e-05
 312000      4.11e-01    3.22e-01      2.58e-03    2.11e-03      6.30e-02    4.93e-02    4.2e-05
 313000      3.52e-01    3.38e-01      4.05e-03    9.62e-04      5.39e-02    5.19e-02    4.2e-05
 314000      3.86e-01    3.16e-01      2.05e-02    5.61e-03      5.76e-02    4.82e-02    4.2e-05
 315000      4.40e-01    3.82e-01      8.24e-03    1.09e-03      6.71e-02    5.85e-02    4.2e-05
 316000      4.94e-01    3.61e-01      8.98e-04    5.71e-03      7.77e-02    5.64e-02    4.0e-05
 317000      3.53e-01    2.62e-01      9.40e-03    1.22e-03      5.50e-02    4.12e-02    4.0e-05
 318000      3.55e-01    4.19e-01      5.90e-03    1.99e-02      5.55e-02    6.38e-02    4.0e-05
 319000      4.74e-01    2.72e-01      2.18e-03    1.00e-02      7.44e-02    4.19e-02    4.0e-05
 320000      3.88e-01    3.46e-01      8.16e-03    7.31e-03      6.06e-02    5.41e-02    4.0e-05
 321000      4.28e-01    2.74e-01      1.53e-03    1.20e-03      6.89e-02    4.42e-02    3.8e-05
 322000      3.16e-01    3.44e-01      4.11e-03    1.18e-02      5.08e-02    5.47e-02    3.8e-05
 323000      3.17e-01    2.93e-01      5.85e-03    5.38e-03      5.08e-02    4.71e-02    3.8e-05
 324000      5.48e-01    3.13e-01      1.44e-02    2.99e-03      8.76e-02    5.04e-02    3.8e-05
 325000      3.39e-01    3.01e-01      6.27e-03    1.03e-02      5.43e-02    4.76e-02    3.8e-05
 326000      3.07e-01    2.99e-01      1.01e-02    1.87e-02      5.00e-02    4.63e-02    3.6e-05
 327000      3.60e-01    3.41e-01      9.08e-04    1.32e-02      5.94e-02    5.54e-02    3.6e-05
 328000      3.25e-01    3.33e-01      1.41e-02    9.25e-03      5.21e-02    5.45e-02    3.6e-05
 329000      2.39e-01    3.26e-01      3.49e-04    3.09e-03      3.95e-02    5.38e-02    3.6e-05
 330000      3.92e-01    4.54e-01      1.94e-03    2.92e-03      6.47e-02    7.50e-02    3.6e-05
 331000      3.61e-01    2.74e-01      1.68e-03    1.40e-03      6.12e-02    4.65e-02    3.4e-05
 332000      3.47e-01    4.25e-01      1.66e-03    4.66e-02      5.87e-02    6.02e-02    3.4e-05
 333000      2.80e-01    3.63e-01      7.72e-03    5.66e-03      4.68e-02    6.12e-02    3.4e-05
 334000      3.67e-01    3.42e-01      7.24e-04    1.15e-02      6.22e-02    5.68e-02    3.4e-05
 335000      4.01e-01    3.20e-01      1.36e-02    1.70e-02      6.69e-02    5.28e-02    3.4e-05
 336000      3.84e-01    2.70e-01      1.03e-02    7.41e-03      6.62e-02    4.64e-02    3.2e-05
 337000      3.51e-01    2.93e-01      2.58e-03    5.78e-04      6.09e-02    5.09e-02    3.2e-05
 338000      2.43e-01    3.03e-01      9.34e-03    4.25e-03      4.16e-02    5.25e-02    3.2e-05
 339000      3.52e-01    3.45e-01      6.59e-03    2.65e-03      6.08e-02    5.98e-02    3.2e-05
 340000      4.98e-01    2.50e-01      4.14e-03    2.10e-03      8.64e-02    4.33e-02    3.2e-05
 341000      3.57e-01    2.48e-01      3.60e-03    2.31e-02      6.35e-02    4.05e-02    3.1e-05
 342000      4.08e-01    2.38e-01      4.83e-03    5.09e-03      7.26e-02    4.21e-02    3.1e-05
 343000      4.00e-01    2.95e-01      2.87e-03    9.76e-03      7.12e-02    5.17e-02    3.1e-05
 344000      3.55e-01    3.84e-01      7.76e-04    8.55e-03      6.32e-02    6.80e-02    3.1e-05
 345000      3.73e-01    2.37e-01      2.35e-04    5.02e-03      6.64e-02    4.19e-02    3.1e-05
 346000      3.11e-01    3.05e-01      5.82e-04    3.46e-03      5.68e-02    5.56e-02    2.9e-05
 347000      2.60e-01    3.84e-01      3.20e-03    1.06e-03      4.73e-02    7.00e-02    2.9e-05
 348000      2.90e-01    2.35e-01      1.20e-03    5.36e-03      5.28e-02    4.25e-02    2.9e-05
 349000      2.87e-01    2.06e-01      4.83e-03    1.56e-03      5.22e-02    3.76e-02    2.9e-05
 350000      4.24e-01    1.68e-01      1.25e-04    7.70e-04      7.74e-02    3.06e-02    2.9e-05
 351000      2.58e-01    2.85e-01      6.00e-03    5.01e-03      4.79e-02    5.30e-02    2.8e-05
 352000      3.22e-01    3.03e-01      1.28e-02    1.20e-02      5.88e-02    5.55e-02    2.8e-05
# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
 270000      6.12e-01    4.60e-01      5.00e-03    2.07e-03      7.48e-02    5.62e-02    6.6e-05
# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
 350000      4.39e-01    3.00e-01      5.50e-03    1.61e-03      7.99e-02    5.47e-02    2.9e-05
 351000      4.44e-01    3.71e-01      4.67e-03    1.54e-03      8.29e-02    6.94e-02    2.8e-05
 352000      2.75e-01    2.67e-01      1.17e-02    6.47e-03      5.05e-02    4.96e-02    2.8e-05
 353000      4.99e-01    3.18e-01      3.58e-03    5.02e-03      9.33e-02    5.93e-02    2.8e-05
 354000      2.90e-01    2.78e-01      9.37e-04    1.86e-02      5.43e-02    4.98e-02    2.8e-05
 355000      3.18e-01    3.42e-01      3.77e-03    4.69e-03      5.94e-02    6.37e-02    2.8e-05
 356000      2.75e-01    2.85e-01      6.81e-03    1.02e-02      5.22e-02    5.39e-02    2.6e-05
 357000      2.30e-01    2.44e-01      3.34e-03    1.58e-03      4.39e-02    4.68e-02    2.6e-05
 358000      3.42e-01    3.18e-01      3.39e-03    1.18e-04      6.54e-02    6.10e-02    2.6e-05
 359000      2.06e-01    3.03e-01      1.32e-03    1.21e-03      3.95e-02    5.81e-02    2.6e-05
 360000      3.40e-01    2.51e-01      6.94e-04    4.80e-04      6.51e-02    4.82e-02    2.6e-05
 361000      2.43e-01    2.68e-01      3.95e-03    1.43e-03      4.75e-02    5.27e-02    2.5e-05
 362000      2.15e-01    3.34e-01      6.83e-03    3.00e-03      4.17e-02    6.55e-02    2.5e-05
 363000      3.57e-01    3.30e-01      2.25e-03    3.45e-02      7.01e-02    5.52e-02    2.5e-05
 364000      2.66e-01    2.41e-01      8.71e-03    8.06e-03      5.18e-02    4.65e-02    2.5e-05
 365000      3.09e-01    2.60e-01      6.27e-04    4.71e-03      6.07e-02    5.09e-02    2.5e-05
 366000      2.56e-01    2.21e-01      2.52e-03    4.56e-04      5.16e-02    4.46e-02    2.4e-05
 367000      2.83e-01    2.65e-01      6.47e-05    6.73e-03      5.71e-02    5.30e-02    2.4e-05
 368000      3.00e-01    2.55e-01      3.57e-03    2.11e-02      6.03e-02    4.79e-02    2.4e-05
 369000      3.74e-01    2.04e-01      6.77e-04    5.59e-03      7.54e-02    4.08e-02    2.4e-05
 370000      2.13e-01    3.48e-01      1.88e-03    3.45e-02      4.28e-02    6.08e-02    2.4e-05
 371000      3.66e-01    2.53e-01      1.18e-02    1.08e-03      7.44e-02    5.22e-02    2.2e-05
 372000      2.65e-01    2.13e-01      6.23e-03    4.06e-03      5.42e-02    4.36e-02    2.2e-05
 373000      3.74e-01    2.17e-01      1.36e-02    1.37e-02      7.60e-02    4.30e-02    2.2e-05
 374000      2.80e-01    2.50e-01      4.18e-03    2.66e-03      5.76e-02    5.16e-02    2.2e-05
 375000      2.91e-01    1.87e-01      1.18e-02    1.82e-03      5.89e-02    3.86e-02    2.2e-05
 376000      3.01e-01    3.05e-01      3.13e-03    9.58e-04      6.36e-02    6.45e-02    2.1e-05
 377000      2.62e-01    2.61e-01      2.16e-03    1.13e-02      5.53e-02    5.35e-02    2.1e-05
 378000      2.64e-01    2.35e-01      6.05e-03    2.98e-03      5.54e-02    4.97e-02    2.1e-05
 379000      2.78e-01    2.63e-01      1.34e-02    7.78e-04      5.71e-02    5.56e-02    2.1e-05
 380000      3.03e-01    3.01e-01      1.18e-02    3.15e-03      6.28e-02    6.36e-02    2.1e-05
 381000      3.47e-01    2.75e-01      6.58e-03    1.01e-03      7.48e-02    5.97e-02    2.0e-05
 382000      3.85e-01    2.01e-01      1.47e-02    1.33e-03      8.20e-02    4.35e-02    2.0e-05
 383000      2.05e-01    1.68e-01      1.35e-03    4.62e-03      4.44e-02    3.61e-02    2.0e-05
 384000      3.16e-01    2.35e-01      1.79e-03    4.74e-03      6.85e-02    5.06e-02    2.0e-05
 385000      2.74e-01    2.57e-01      1.21e-03    8.70e-03      5.93e-02    5.47e-02    2.0e-05
 386000      2.99e-01    2.53e-01      1.35e-02    6.60e-04      6.47e-02    5.62e-02    1.9e-05
 387000      2.27e-01    1.97e-01      6.91e-03    1.59e-03      4.99e-02    4.38e-02    1.9e-05
 388000      2.25e-01    2.00e-01      6.94e-03    9.27e-03      4.93e-02    4.35e-02    1.9e-05
 389000      2.95e-01    2.72e-01      1.88e-03    2.33e-03      6.56e-02    6.03e-02    1.9e-05
 390000      3.09e-01    2.42e-01      4.87e-03    4.36e-03      6.85e-02    5.35e-02    1.9e-05
 391000      3.07e-01    2.22e-01      1.17e-03    6.16e-03      6.98e-02    4.99e-02    1.8e-05
 392000      2.76e-01    2.05e-01      5.47e-03    4.11e-03      6.25e-02    4.63e-02    1.8e-05
 393000      2.28e-01    2.23e-01      2.27e-03    1.78e-03      5.18e-02    5.08e-02    1.8e-05
 394000      2.50e-01    2.08e-01      9.90e-03    3.79e-03      5.61e-02    4.71e-02    1.8e-05
 395000      2.86e-01    2.46e-01      5.11e-03    8.76e-04      6.47e-02    5.61e-02    1.8e-05
 396000      3.30e-01    2.29e-01      2.88e-03    2.58e-03      7.68e-02    5.34e-02    1.7e-05
 397000      2.22e-01    1.76e-01      5.53e-03    8.80e-04      5.12e-02    4.11e-02    1.7e-05
 398000      2.27e-01    2.74e-01      2.35e-03    1.16e-02      5.28e-02    6.23e-02    1.7e-05
 399000      3.13e-01    1.76e-01      1.58e-04    6.77e-03      7.31e-02    4.02e-02    1.7e-05
 400000      2.57e-01    2.20e-01      8.77e-03    5.90e-03      5.89e-02    5.09e-02    1.7e-05
 401000      2.86e-01    1.78e-01      3.08e-03    4.99e-04      6.81e-02    4.25e-02    1.7e-05
 402000      2.01e-01    2.26e-01      6.74e-04    8.32e-03      4.81e-02    5.33e-02    1.7e-05
 403000      2.14e-01    1.92e-01      2.83e-03    3.51e-03      5.10e-02    4.56e-02    1.7e-05
 404000      3.68e-01    2.10e-01      9.29e-03    4.80e-03      8.73e-02    4.99e-02    1.7e-05
 405000      2.26e-01    1.93e-01      2.99e-03    3.08e-03      5.38e-02    4.59e-02    1.7e-05
 406000      1.99e-01    1.88e-01      2.94e-03    8.34e-03      4.86e-02    4.45e-02    1.6e-05
 407000      2.39e-01    2.20e-01      7.05e-04    7.66e-03      5.84e-02    5.33e-02    1.6e-05
 408000      2.07e-01    2.15e-01      4.35e-03    4.12e-03      5.04e-02    5.25e-02    1.6e-05
 409000      1.50e-01    2.11e-01      4.67e-04    7.91e-04      3.68e-02    5.16e-02    1.6e-05
 410000      2.56e-01    2.95e-01      6.96e-04    1.08e-03      6.27e-02    7.22e-02    1.6e-05
 411000      2.43e-01    1.80e-01      1.07e-03    8.79e-04      6.10e-02    4.52e-02    1.5e-05
 412000      2.26e-01    2.56e-01      1.04e-03    2.27e-02      5.66e-02    5.75e-02    1.5e-05
 413000      1.78e-01    2.39e-01      3.30e-03    1.25e-03      4.45e-02    6.00e-02    1.5e-05
 414000      2.43e-01    2.25e-01      3.16e-04    7.11e-03      6.08e-02    5.56e-02    1.5e-05
 415000      2.67e-01    2.13e-01      7.63e-03    8.09e-03      6.63e-02    5.27e-02    1.5e-05
 416000      2.57e-01    1.80e-01      9.94e-03    3.71e-03      6.48e-02    4.61e-02    1.4e-05
 417000      2.37e-01    1.92e-01      1.40e-03    1.05e-03      6.08e-02    4.93e-02    1.4e-05
 418000      1.58e-01    1.86e-01      4.45e-03    4.05e-03      4.03e-02    4.75e-02    1.4e-05
 419000      2.31e-01    2.21e-01      4.43e-03    9.19e-04      5.89e-02    5.68e-02    1.4e-05
 420000      3.35e-01    1.68e-01      5.90e-03    2.37e-03      8.58e-02    4.30e-02    1.4e-05
 421000      2.39e-01    1.50e-01      3.80e-04    1.00e-02      6.30e-02    3.78e-02    1.3e-05
 422000      2.75e-01    1.54e-01      4.35e-03    3.59e-03      7.21e-02    4.03e-02    1.3e-05
 423000      2.67e-01    1.95e-01      2.90e-03    7.10e-03      7.02e-02    5.05e-02    1.3e-05
 424000      2.33e-01    2.49e-01      8.78e-04    5.54e-03      6.13e-02    6.52e-02    1.3e-05
 425000      2.46e-01    1.52e-01      7.45e-04    2.89e-03      6.47e-02    3.98e-02    1.3e-05
 426000      2.09e-01    2.08e-01      1.54e-04    1.15e-03      5.62e-02    5.59e-02    1.3e-05
 427000      1.67e-01    2.47e-01      2.12e-03    2.17e-03      4.49e-02    6.65e-02    1.3e-05
 428000      1.91e-01    1.53e-01      5.19e-04    3.47e-03      5.14e-02    4.08e-02    1.3e-05
 429000      1.93e-01    1.33e-01      1.76e-03    1.05e-03      5.19e-02    3.58e-02    1.3e-05
 430000      2.87e-01    1.11e-01      2.63e-04    1.01e-03      7.74e-02    2.99e-02    1.3e-05
 431000      1.75e-01    1.87e-01      1.78e-03    2.30e-03      4.81e-02    5.16e-02    1.2e-05
 432000      2.17e-01    1.97e-01      8.03e-03    6.26e-03      5.86e-02    5.37e-02    1.2e-05
 433000      2.25e-01    1.55e-01      3.03e-03    1.81e-03      6.18e-02    4.27e-02    1.2e-05
 434000      2.67e-01    1.62e-01      2.34e-03    4.95e-03      7.37e-02    4.42e-02    1.2e-05
 435000      2.41e-01    1.52e-01      1.91e-02    3.32e-03      6.09e-02    4.16e-02    1.2e-05
 436000      1.92e-01    1.77e-01      2.04e-03    2.44e-04      5.40e-02    4.99e-02    1.2e-05
 437000      1.69e-01    1.72e-01      3.20e-03    8.97e-03      4.75e-02    4.68e-02    1.2e-05
 438000      1.85e-01    2.08e-01      2.34e-03    3.53e-03      5.23e-02    5.84e-02    1.2e-05
 439000      2.41e-01    1.37e-01      9.83e-04    2.06e-03      6.81e-02    3.86e-02    1.2e-05
 440000      2.43e-01    1.96e-01      8.85e-03    3.79e-03      6.74e-02    5.51e-02    1.2e-05
 441000      2.52e-01    1.57e-01      6.00e-03    1.14e-03      7.22e-02    4.52e-02    1.1e-05
 442000      1.98e-01    1.94e-01      2.76e-03    3.07e-03      5.73e-02    5.58e-02    1.1e-05
 443000      1.30e-01    1.35e-01      1.27e-02    3.48e-03      3.40e-02    3.87e-02    1.1e-05
 444000      1.76e-01    1.58e-01      1.33e-03    6.95e-03      5.08e-02    4.47e-02    1.1e-05
 445000      1.86e-01    1.90e-01      1.31e-03    4.49e-03      5.37e-02    5.46e-02    1.1e-05
 446000      2.59e-01    1.61e-01      5.67e-04    1.82e-04      7.66e-02    4.78e-02    1.0e-05
 447000      1.73e-01    1.94e-01      2.30e-03    6.89e-03      5.11e-02    5.63e-02    1.0e-05
 448000      1.74e-01    1.78e-01      2.31e-03    3.43e-03      5.13e-02    5.25e-02    1.0e-05
 449000      2.05e-01    1.47e-01      2.54e-03    1.97e-03      6.04e-02    4.35e-02    1.0e-05
 450000      1.51e-01    1.96e-01      1.94e-03    4.64e-03      4.46e-02    5.74e-02    1.0e-05
 451000      1.34e-01    1.79e-01      1.62e-03    3.95e-03      4.06e-02    5.37e-02    9.9e-06
 452000      1.78e-01    1.99e-01      9.04e-04    8.30e-03      5.41e-02    5.88e-02    9.9e-06
 453000      2.83e-01    1.90e-01      7.85e-03    8.33e-03      8.49e-02    5.60e-02    9.9e-06
 454000      1.35e-01    1.77e-01      1.65e-03    1.49e-03      4.08e-02    5.35e-02    9.9e-06
 455000      2.48e-01    2.72e-01      3.94e-03    2.83e-03      7.49e-02    8.23e-02    9.9e-06
 456000      2.09e-01    1.81e-01      1.21e-02    6.55e-03      6.19e-02    5.55e-02    9.4e-06
 457000      1.92e-01    1.28e-01      7.48e-04    3.73e-03      5.95e-02    3.91e-02    9.4e-06
 458000      2.15e-01    1.99e-01      9.71e-03    2.51e-03      6.50e-02    6.16e-02    9.4e-06
 459000      2.39e-01    1.47e-01      9.72e-03    1.91e-03      7.25e-02    4.56e-02    9.4e-06
 460000      2.33e-01    1.35e-01      4.06e-03    1.09e-03      7.20e-02    4.17e-02    9.4e-06
 461000      1.61e-01    1.93e-01      1.29e-03    2.81e-03      5.12e-02    6.12e-02    8.9e-06
 462000      2.56e-01    1.74e-01      3.05e-03    2.68e-03      8.11e-02    5.51e-02    8.9e-06
 463000      1.75e-01    1.04e-01      1.77e-03    2.36e-03      5.54e-02    3.27e-02    8.9e-06
 464000      2.69e-01    1.99e-01      4.64e-03    2.35e-03      8.53e-02    6.31e-02    8.9e-06
 465000      1.21e-01    1.92e-01      1.69e-03    4.15e-04      3.83e-02    6.08e-02    8.9e-06
 466000      1.68e-01    2.14e-01      1.18e-02    9.60e-03      5.08e-02    6.80e-02    8.5e-06
 467000      1.80e-01    1.23e-01      1.35e-03    2.61e-04      5.86e-02    3.99e-02    8.5e-06
 468000      1.25e-01    1.62e-01      7.11e-03    2.81e-03      3.90e-02    5.23e-02    8.5e-06
 469000      1.40e-01    1.61e-01      8.94e-03    1.99e-03      4.32e-02    5.21e-02    8.5e-06
 470000      2.26e-01    1.64e-01      1.16e-02    9.56e-04      7.09e-02    5.34e-02    8.5e-06
 471000      1.57e-01    1.48e-01      1.81e-03    8.14e-04      5.21e-02    4.91e-02    8.1e-06
 472000      1.90e-01    1.28e-01      2.42e-04    1.07e-04      6.31e-02    4.25e-02    8.1e-06
 473000      1.91e-01    1.59e-01      1.30e-03    6.28e-03      6.35e-02    5.17e-02    8.1e-06
 474000      1.43e-01    1.42e-01      3.87e-03    4.27e-04      4.70e-02    4.74e-02    8.1e-06
 475000      2.41e-01    2.45e-01      4.23e-03    2.70e-03      7.96e-02    8.13e-02    8.1e-06
 476000      1.87e-01    1.96e-01      5.80e-03    2.48e-03      6.27e-02    6.63e-02    7.7e-06
 477000      1.42e-01    1.54e-01      3.20e-03    6.49e-04      4.78e-02    5.25e-02    7.7e-06
 478000      1.70e-01    1.60e-01      7.17e-04    2.63e-03      5.78e-02    5.42e-02    7.7e-06
 479000      1.96e-01    1.29e-01      9.13e-03    2.05e-03      6.44e-02    4.35e-02    7.7e-06
 480000      1.38e-01    1.51e-01      6.22e-03    1.75e-03      4.57e-02    5.14e-02    7.7e-06
 481000      1.67e-01    1.43e-01      5.98e-04    2.99e-03      5.82e-02    4.94e-02    7.3e-06
 482000      1.37e-01    1.57e-01      5.15e-03    3.76e-03      4.67e-02    5.42e-02    7.3e-06
 483000      1.99e-01    1.62e-01      5.35e-04    8.13e-05      6.91e-02    5.63e-02    7.3e-06
 484000      2.04e-01    1.34e-01      2.57e-03    1.94e-03      7.07e-02    4.65e-02    7.3e-06
 485000      1.83e-01    1.56e-01      7.43e-04    2.73e-03      6.35e-02    5.39e-02    7.3e-06
 486000      2.46e-01    1.52e-01      2.65e-03    1.22e-03      8.74e-02    5.40e-02    6.9e-06
 487000      1.77e-01    1.86e-01      1.67e-03    9.65e-04      6.29e-02    6.61e-02    6.9e-06
 488000      1.32e-01    1.40e-01      2.33e-03    2.48e-03      4.69e-02    4.97e-02    6.9e-06
 489000      1.49e-01    1.41e-01      1.74e-03    1.57e-03      5.29e-02    5.01e-02    6.9e-06
 490000      1.86e-01    1.67e-01      1.56e-03    1.78e-03      6.60e-02    5.93e-02    6.9e-06
 491000      1.87e-01    1.43e-01      8.32e-03    4.91e-03      6.62e-02    5.13e-02    6.6e-06
 492000      1.34e-01    1.11e-01      2.15e-03    1.19e-03      4.85e-02    4.04e-02    6.6e-06
 493000      2.11e-01    1.48e-01      7.93e-03    1.44e-03      7.52e-02    5.37e-02    6.6e-06
 494000      1.43e-01    1.63e-01      5.66e-04    2.05e-03      5.19e-02    5.91e-02    6.6e-06
 495000      1.61e-01    1.93e-01      8.62e-04    6.22e-03      5.84e-02    6.89e-02    6.6e-06
 496000      1.63e-01    1.61e-01      1.19e-02    5.55e-04      5.63e-02    5.99e-02    6.2e-06
 497000      1.79e-01    1.10e-01      4.90e-04    2.03e-04      6.65e-02    4.11e-02    6.2e-06
 498000      1.63e-01    1.56e-01      1.88e-03    5.45e-03      6.05e-02    5.67e-02    6.2e-06
 499000      1.47e-01    1.11e-01      1.37e-03    4.31e-04      5.46e-02    4.13e-02    6.2e-06
 500000      1.65e-01    1.16e-01      2.50e-03    3.15e-03      6.10e-02    4.26e-02    6.2e-06
 501000      2.37e-01    1.13e-01      1.14e-02    5.02e-03      8.75e-02    4.21e-02    5.9e-06
 502000      1.37e-01    1.19e-01      3.84e-03    1.42e-03      5.16e-02    4.51e-02    5.9e-06
 503000      2.01e-01    1.48e-01      1.50e-03    4.12e-03      7.63e-02    5.55e-02    5.9e-06
