# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  58000      1.80e+00    2.50e+00      3.52e-02    4.55e-02      7.51e-02    1.04e-01    5.7e-04
  59000      2.40e+00    2.57e+00      1.81e-02    6.38e-03      1.01e-01    1.08e-01    5.7e-04
  60000      3.02e+00    2.70e+00      3.13e-02    1.41e-02      1.27e-01    1.13e-01    5.7e-04
  61000      2.45e+00    2.40e+00      1.06e-01    4.54e-02      1.04e-01    1.03e-01    5.4e-04
  62000      2.01e+00    2.23e+00      7.41e-03    4.13e-02      8.65e-02    9.58e-02    5.4e-04
  63000      1.78e+00    2.01e+00      3.51e-02    1.62e-04      7.66e-02    8.65e-02    5.4e-04
  64000      3.03e+00    1.84e+00      2.67e-02    3.54e-02      1.30e-01    7.89e-02    5.4e-04
  65000      3.13e+00    2.19e+00      6.06e-02    3.72e-02      1.34e-01    9.41e-02    5.4e-04
  66000      2.18e+00    1.39e+00      4.90e-03    3.23e-02      9.62e-02    6.12e-02    5.1e-04
  67000      3.09e+00    2.08e+00      9.28e-03    1.50e-02      1.36e-01    9.17e-02    5.1e-04
  68000      2.02e+00    1.62e+00      2.66e-02    1.62e-02      8.90e-02    7.15e-02    5.1e-04
  69000      2.40e+00    1.84e+00      3.31e-02    3.61e-02      1.06e-01    8.11e-02    5.1e-04
  70000      2.43e+00    1.95e+00      5.80e-03    1.40e-02      1.07e-01    8.59e-02    5.1e-04
  71000      2.14e+00    2.07e+00      9.75e-03    3.33e-02      9.66e-02    9.37e-02    4.9e-04
  72000      1.72e+00    1.78e+00      2.84e-02    9.50e-03      7.77e-02    8.05e-02    4.9e-04
  73000      2.46e+00    2.49e+00      1.16e-02    4.49e-03      1.11e-01    1.13e-01    4.9e-04
  74000      2.23e+00    2.72e+00      2.59e-02    3.22e-02      1.01e-01    1.23e-01    4.9e-04
  75000      2.13e+00    2.32e+00      7.92e-02    1.22e-03      9.58e-02    1.05e-01    4.9e-04
  76000      1.92e+00    2.45e+00      2.87e-02    2.41e-02      8.92e-02    1.14e-01    4.6e-04
  77000      2.22e+00    2.11e+00      1.09e-02    9.96e-03      1.03e-01    9.82e-02    4.6e-04
  78000      2.44e+00    1.80e+00      2.78e-02    3.40e-02      1.13e-01    8.32e-02    4.6e-04
  79000      2.06e+00    2.93e+00      2.87e-02    3.85e-02      9.56e-02    1.36e-01    4.6e-04
  80000      2.28e+00    2.16e+00      2.60e-02    1.41e-01      1.06e-01    9.70e-02    4.6e-04
  81000      1.86e+00    1.76e+00      2.53e-02    5.24e-03      8.83e-02    8.36e-02    4.4e-04
  82000      2.52e+00    1.80e+00      3.20e-02    4.09e-02      1.20e-01    8.53e-02    4.4e-04
  83000      1.65e+00    1.93e+00      5.30e-02    1.02e-02      7.82e-02    9.19e-02    4.4e-04
  84000      2.13e+00    2.01e+00      1.63e-02    7.05e-03      1.02e-01    9.60e-02    4.4e-04
  85000      2.45e+00    1.66e+00      1.26e-02    4.58e-03      1.16e-01    7.91e-02    4.4e-04
  86000      1.88e+00    1.90e+00      3.20e-02    5.12e-02      9.17e-02    9.21e-02    4.2e-04
  87000      2.05e+00    1.59e+00      8.27e-03    2.35e-02      1.00e-01    7.75e-02    4.2e-04
  88000      1.60e+00    1.91e+00      2.34e-03    1.45e-01      7.80e-02    8.93e-02    4.2e-04
  89000      2.61e+00    2.12e+00      9.88e-03    1.71e-02      1.28e-01    1.03e-01    4.2e-04
  90000      1.96e+00    2.06e+00      1.07e-02    2.16e-03      9.59e-02    1.01e-01    4.2e-04
  91000      1.59e+00    1.58e+00      2.49e-02    1.41e-02      7.94e-02    7.90e-02    4.0e-04
  92000      2.23e+00    1.69e+00      2.90e-02    2.11e-02      1.12e-01    8.47e-02    4.0e-04
  93000      1.60e+00    1.47e+00      1.14e-02    2.52e-02      8.00e-02    7.37e-02    4.0e-04
  94000      2.00e+00    1.83e+00      2.23e-03    7.47e-02      1.00e-01    9.11e-02    4.0e-04
  95000      1.37e+00    1.86e+00      2.24e-02    4.48e-02      6.88e-02    9.25e-02    4.0e-04
  96000      2.31e+00    1.49e+00      1.62e-02    1.13e-02      1.19e-01    7.64e-02    3.8e-04
  97000      1.64e+00    1.62e+00      2.52e-02    1.39e-03      8.44e-02    8.32e-02    3.8e-04
  98000      1.80e+00    1.71e+00      1.88e-02    1.48e-02      9.24e-02    8.81e-02    3.8e-04
  99000      1.84e+00    1.68e+00      8.85e-03    2.76e-03      9.46e-02    8.66e-02    3.8e-04
 100000      1.84e+00    1.36e+00      1.46e-03    5.79e-02      9.48e-02    6.84e-02    3.8e-04
 101000      2.07e+00    1.56e+00      2.66e-02    2.95e-02      1.09e-01    8.19e-02    3.6e-04
 102000      1.86e+00    2.27e+00      2.17e-02    1.00e-02      9.79e-02    1.20e-01    3.6e-04
 103000      1.66e+00    1.25e+00      2.38e-02    4.80e-02      8.74e-02    6.55e-02    3.6e-04
 104000      1.47e+00    1.54e+00      5.74e-02    4.49e-03      7.68e-02    8.15e-02    3.6e-04
 105000      1.18e+00    1.51e+00      1.86e-02    5.01e-02      6.21e-02    7.90e-02    3.6e-04
 106000      1.48e+00    1.36e+00      3.19e-03    8.22e-03      8.02e-02    7.38e-02    3.4e-04
 107000      2.28e+00    1.40e+00      1.70e-02    2.71e-02      1.24e-01    7.56e-02    3.4e-04
 108000      1.54e+00    1.48e+00      9.79e-03    9.87e-03      8.35e-02    7.99e-02    3.4e-04
 109000      1.81e+00    1.52e+00      1.18e-01    2.39e-02      9.45e-02    8.20e-02    3.4e-04
 110000      1.40e+00    1.12e+00      2.84e-02    2.32e-02      7.52e-02    6.05e-02    3.4e-04
 111000      1.37e+00    1.67e+00      2.17e-02    2.46e-02      7.59e-02    9.25e-02    3.2e-04
 112000      1.33e+00    1.25e+00      1.95e-02    1.12e-02      7.36e-02    6.94e-02    3.2e-04
 113000      1.35e+00    1.20e+00      3.48e-02    1.17e-03      7.45e-02    6.64e-02    3.2e-04
 114000      1.45e+00    1.47e+00      1.35e-01    4.10e-03      7.39e-02    8.15e-02    3.2e-04
 115000      1.87e+00    1.60e+00      1.87e-02    1.10e-03      1.04e-01    8.88e-02    3.2e-04
 116000      1.48e+00    1.37e+00      6.31e-02    1.92e-02      8.24e-02    7.78e-02    3.1e-04
